every,delay,median,bottom,top
1,1,0.699842437183929,0.45846750452413,0.860475945333792
2,1,0.569858995871065,0.372398156738168,0.733867958317646
4,1,0.395207600253502,0.260338549927848,0.527230814025129
7,1,0.252187107859388,0.166320824669302,0.341177735197602
14,1,0.128794165526393,0.0848651944603164,0.174872603882678
1,2,0.522626808095984,0.324907301662637,0.693673266459255
2,2,0.41114191792745,0.254737284135173,0.563664799770568
4,2,0.276995253990232,0.173206048134326,0.3880988292747
7,2,0.174360303446626,0.110236253165108,0.246752686146768
14,2,0.0889641484901729,0.0563479393620095,0.125979496823267
